,firstName,lastName,decade
499,Lisa,Kudrow,60s
500,Robert,Zemeckis,50s
501,Eli,Wallach,10s
502,John,Cusack,60s
504,John,Milnor,30s
505,Muddy,Waters,10s
506,Travis,Barker,70s
507,John,Grisham,50s
512,Matthew,Morrison,70s
513,Warren,Beatty,30s
516,Joseph,E. Stiglitz,40s
517,Jon,Bon Jovi,60s
519,Linda,Hamilton,50s
520,Meryl,Streep,40s
521,John,McCarthy,20s
523,Sissy,Spacek,40s
526,Patricia,Highsmith,20s
527,Alan,Shepard,20s
528,Muhammad,Ali,40s
529,Chuck,Palahniuk,60s
530,Jack,Kilby,20s
533,Ginger,Rogers,10s
535,Jean-Michel,Basquiat,60s
537,Jennifer,Lopez,60s
538,Buzz,Aldrin,30s
539,Sam,Peckinpah,20s
540,Pete,Sampras,70s
544,Philip,Jos̩ Farmer,10s
545,Maurice,Greene,70s
546,Joseph,Greenberg,10s
548,Carl,Lewis,60s
551,Jennifer,Jones,10s
552,Steven,Seagal,50s
553,Robert,Wise,10s
554,Jessica,Lange,40s
557,Martin,Sheen,40s
558,Faye,Dunaway,40s
559,Jack,Kirby,10s
560,Anna,Nicole Smith,60s
561,Kareem,Abdul-Jabbar,40s
562,Kevin,Federline,70s
563,Justin,Timberlake,80s
564,Selena,,70s
565,Leon,M. Lederman,20s
567,Gwen,Stefani,60s
568,Lee,Marvin,20s
569,Debbie,Reynolds,30s
570,Larry,Flynt,40s
571,Martin,Scorsese,40s
572,John,Backus,20s
574,Johnny,Depp,60s
575,Paul,Walker,70s
576,Marvin,Minsky,20s
577,Edward,Furlong,70s
578,Robert,Englund,40s
579,Frank,Miller,50s
580,Milton,Friedman,10s
582,Joe,Lieberman,40s
583,Michael,Moore,50s
584,Jenna,Jameson,70s
585,Anton,LaVey,30s
587,J.,Christopher Stevens,60s
588,Fergie,,70s
589,Murray,Rothbard,20s
590,Tyson,Chandler,80s
591,Michael,Douglas,40s
592,Merton,Miller,20s
593,Samuel,Barber,10s
594,Mel,Brooks,20s
596,Alexander,Haig,20s
597,William,Westmoreland,10s
598,The,Rock,70s
599,Elliott,Smith,60s
600,Robin,Tunney,70s
601,Liza,Minnelli,40s
602,Katey,Sagal,50s
603,Kate,Mulgrew,50s
606,Michael,Jordan,60s
607,Murray,Gell-Mann,20s
608,Tina,Turner,30s
609,George,C. Scott,20s
611,Peter,Falk,20s
612,Beyonc̩,,80s
613,Thelonious,Monk,10s
614,Daron,Malakian,70s
617,Nick,Nolte,40s
619,Richard,Feynman,10s
621,Madeleine,Stowe,50s
622,Robert,Mitchum,10s
623,Rudy,Giuliani,40s
624,Raymond,Kurzweil,40s
625,Belinda,Carlisle,50s
627,Robert,Nozick,30s
634,Robert,Moog,30s
637,Patsy,Cline,30s
639,Tony,Levin,40s
640,Stanley,Kubrick,20s
641,Steve,Reich,30s
643,Art,Clokey,20s
645,Sarah,Michelle Gellar,70s
651,Hilary,Swank,70s
653,Reese,Witherspoon,70s
654,Stanley,Milgram,30s
655,David,Carradine,30s
658,Tupac,Shakur,70s
659,Jamie,Lynn Spears,90s
660,Jerry,Lee Lewis,30s
661,Woody,Allen,30s
662,Johnny,Carson,20s
664,Daniel,McFadden,30s
665,Robert,"Lucas, Jr.",30s
666,Christina,Applegate,70s
667,Wallace,Shawn,40s
669,John,Hughes,50s
670,John,Forbes Nash,20s
671,Will,Eisner,10s
672,Tina,Fey,70s
675,William,Forsyth Sharpe,30s
676,Steve,Martin,40s
677,Roger,Wolcott Sperry,10s
680,Danny,DeVito,40s
681,Al,Pacino,40s
684,Douglass,North,20s
685,Jason,Lee,70s
686,M.,Shadows,80s
687,Synyster,Gates,80s
688,Nancy,Cartwright,50s
690,The,Rev,80s
691,John,Rawls,20s
692,Billy,Joel,40s
693,Paul,Giamatti,60s
694,Richie,Sambora,50s
695,Alice,Cooper,40s
696,Kenneth,Arrow,20s
697,Madonna,,50s
698,Buckethead,,60s
701,Jeffrey,P. Bezos,60s
702,Robert,Ludlum,20s
703,Eddie,Murphy,60s
704,Lily,Tomlin,30s
705,Chester,Bennington,70s
706,Joe,Hahn,70s
707,Ted,Bundy,40s
708,Tera,Patrick,70s
709,Whoopi,Goldberg,50s
710,Trent,Reznor,60s
711,Tyra,Banks,70s
712,Yehudi,Menuhin,10s
713,Brandy,Norwood,70s
714,Steve,McQueen,30s
716,Joe,Biden,40s
717,Will,Ferrell,60s
718,Rebecca,Black,90s
719,Les,Paul,10s
720,Fiona,Apple,70s
721,Kim,Novak,30s
722,Richard,Simmons,40s
723,Little,Richard,30s
724,John,Searle,30s
725,Nancy,Pelosi,40s
726,Ray,Charles,30s
727,Fats,Domino,20s
728,Sam,Cooke,30s
729,Frances,McDormand,50s
730,Pat,Morita,30s
731,Aretha,Franklin,40s
732,Shirley,MacLaine,30s
733,Sid,Meier,50s
734,Stevie,Wonder,50s
735,Shaquille,O'Neal,70s
736,Joe,Louis,10s
738,Gregory,Peck,10s
739,William,Styron,20s
740,Queen,Latifah,70s
741,Jaco,Pastorius,50s
742,Judith,Butler,50s
744,James,Coburn,20s
745,Lou,Reed,40s
746,Ronnie,James Dio,40s
748,Cliff,Robertson,20s
749,Willie,Nelson,30s
750,Montgomery,Clift,20s
751,Axl,Rose,60s
752,George,Foreman,40s
753,Philip,Roth,30s
754,Alicia,Keys,80s
755,Michael,S. Dell,60s
756,Dean,Martin,10s
757,Roy,Lichtenstein,20s
758,Vincent,Price,10s
760,Sylvester,Stallone,40s
761,Jennifer,Beals,60s
762,Danielle,Steel,40s
764,B.B.,King,20s
767,Ornette,Coleman,30s
768,Wes,Craven,30s
769,Joe,Frazier,40s
770,Richard,Gere,40s
771,Will,Wright,60s
772,Walter,Matthau,20s
773,Betty,Ford,10s
775,Jane,Fonda,30s
776,Diana,Ross,40s
777,Will,Smith,60s
779,Sam,Walton,10s
780,Truman,Capote,20s
781,Frederick,Reines,10s
782,Mary,Steenburgen,50s
783,Sigourney,Weaver,40s
784,Bill,Evans,20s
785,Laurence,Fishburne,60s
786,Marcia,Gay Harden,50s
787,Dave,Mustaine,60s
788,Iggy,Pop,40s
789,Mia,Hamm,70s
790,Nicolas,Cage,60s
791,Maria,Callas,20s
793,Condoleezza,Rice,50s
794,Evander,Holyfield,60s
795,Susan,Sarandon,40s
796,George,Clooney,60s
797,Bill,Cosby,30s
799,River,Phoenix,70s
800,Tony,Curtis,20s
801,Lloyd,Shapley,20s
802,Ben,Foster,80s
803,Snoop,Dogg,70s
804,Art,Garfunkel,40s
805,Jewel,,70s
806,Jason,Robards,20s
807,Stanley,B. Prusiner,40s
809,Billie,Jean King,40s
810,Barbra,Streisand,40s
811,Jennette,McCurdy,90s
812,Ernest,Borgnine,10s
813,Billy,Zane,60s
815,Christopher,Reeve,50s
816,Russell,Westbrook,80s
817,Shane,Dawson,80s
818,Mario,Puzo,20s
819,Samantha,Smith,70s
821,Chuck,Norris,40s
822,Lauryn,Hill,70s
823,Harvey,Keitel,30s
824,Danny,Elfman,50s
825,Larry,Wall,50s
826,Daryl,Hannah,60s
827,Hank,Williams,20s
829,Elijah,Wood,80s
831,Ethan,Hawke,70s
832,Mickey,Rooney,20s
833,Roy,Scheider,30s
834,Solomon,Burke,40s
835,Karl,Malden,10s
836,Marilyn,Monroe,20s
837,Serena,Williams,80s
838,Howard,Zinn,20s
839,Cyrus,Vance,10s
842,Isaac,Hayes,40s
843,David,Hasselhoff,50s
844,John,Edwards,50s
846,Mahalia,Jackson,10s
847,Nat,King Cole,10s
848,Brittany,Murphy,70s
849,Stevie,Ray Vaughan,50s
850,Lisa,Edelstein,60s
851,Sarah,Vaughan,20s
852,Connie,Francis,30s
853,Frankie,Muniz,80s
854,Walter,Cronkite,10s
855,Dionne,Warwick,40s
856,Dustin,Hoffman,30s
857,Ben,Stiller,60s
859,Gwyneth,Paltrow,70s
860,Kris,Kristofferson,30s
861,Ashley,Judd,60s
862,Thora,Birch,80s
863,Don,DeLillo,30s
864,Faith,Hill,60s
865,F.,Murray Abraham,30s
866,Lil,Wayne,80s
867,James,Garner,20s
868,Ritchie,Valens,40s
869,James,Woods,40s
870,Ron,Paul,30s
871,Nelly,,70s
872,Billy,Ray Cyrus,60s
873,Tracy,Chapman,60s
874,Leonardo,DiCaprio,70s
875,Robert,C. Merton,40s
876,Heather,Graham,70s
877,Andy,Kaufman,40s
878,Lionel,Richie,40s
880,Sidney,Sheldon,10s
881,Robert,Hofstadter,10s
882,Julia,Louis-Dreyfus,60s
883,Chris,Rock,60s
884,Woody,Harrelson,60s
885,Adam,Sandler,60s
886,Ed,Harris,50s
887,Chaka,Khan,50s
888,Jerry,Seinfeld,50s
889,Cannonball,Adderley,20s
890,Larry,David,40s
892,Henry,Way Kendall,20s
893,Samuel,P. Huntington,20s
894,Erykah,Badu,70s
895,Pete,Seeger,10s
896,Lindsay,Davenport,70s
897,Paul,Stanley,50s
898,Conan,O'Brien,60s
899,Val,Kilmer,50s
900,Jeff,Bridges,40s
901,John,Cage,10s
902,Tom,Berenger,40s
903,Vernon,L. Smith,20s
904,Thomas,L. Friedman,50s
905,The,Notorious B.I.G.,70s
907,Burt,Reynolds,30s
908,Lana,Turner,20s
909,Traci,Lords,60s
910,Newt,Gingrich,40s
911,Burt,Bacharach,20s
912,Florence,Griffith-Joyner,50s
913,Mos,Def,70s
914,Missy,Elliott,70s
915,Marion,Jones,70s
917,Fred,Durst,70s
918,Lucy,Liu,60s
919,Tom,Wolfe,30s
920,Ray,Manzarek,30s
921,Kathleen,Turner,50s
922,Chris,Tucker,70s
923,Sally,Ride,50s
924,Ja,Rule,70s
925,Ken,Wilber,40s
926,Jane,Wyman,10s
927,Loretta,Young,10s
928,Nas,,70s
929,John,F. Kennedy,10s
930,Carole,King,40s
931,Pete,Conrad,30s
932,Ellen,Burstyn,30s
933,David,Bohm,10s
934,Busta,Rhymes,70s
935,Steve,Fossett,40s
937,Anne,Baxter,20s
938,Shelley,Winters,20s
939,Don,Rickles,20s
940,Harry,Belafonte,20s
941,Demi,Moore,60s
943,Tim,Allen,50s
944,Jeb,Bush,50s
945,Norman,Mailer,20s
946,William,Friedkin,30s
947,John,Williams,30s
948,George,Akerlof,40s
949,Joe,Pantoliano,50s
950,Joss,Whedon,60s
951,Cuba,"Gooding, Jr.",60s
952,Joanne,Woodward,30s
953,Raymond,Carver,30s
954,George,Carlin,30s
955,Harper,Lee,20s
957,Richard,Dreyfuss,40s
959,Julie,Kavner,50s
960,Rachel,Corrie,70s
962,Ben,Roy Mottelson,20s
963,Cynthia,Nixon,60s
964,Bettie,Page,20s
965,Don,Johnson,40s
966,Alan,Arkin,30s
968,Charles,Barkley,60s
969,Ice,Cube,60s
970,Beck,Hansen,70s
971,Jack,Kevorkian,20s
973,Ben,Browder,60s
974,Ryan,O'Neal,40s
975,Roger,Myerson,50s
976,Ren̩e,Zellweger,60s
977,Kim,Basinger,50s
980,Alan,Greenspan,20s
981,James,Cronin,30s
983,Jay-Z,,60s
984,Oliver,E. Williamson,30s
985,Viggo,Mortensen,50s
986,Geraldine,Page,20s
987,Bernard,Herrmann,10s
988,Keith,Jarrett,40s
989,David,Robinson,60s
990,Harry,Harrison,20s
991,Etta,James,30s
992,Charles,Bronson,20s
993,Neil,Diamond,40s
994,Reba,McEntire,50s
995,Wes,Montgomery,20s
996,Patricia,Neal,20s
997,Edward,James Olmos,40s
998,Bette,Midler,40s
999,Wynton,Marsalis,60s
1001,Lenny,Kravitz,60s
1002,Warren,Buffett,30s
1003,John,Mayer,70s
1004,Bret,Easton Ellis,60s
1005,Mia,Farrow,40s
1006,Anthony,Perkins,30s
1007,James,Baker,30s
1009,Willem,Dafoe,50s
1010,Patricia,Arquette,60s
1011,Diane,Keaton,40s
1012,Robert,Downey Jr.,60s
1013,Nina,Simone,30s
1015,Usher,,70s
1016,Pink,,70s
1017,LeAnn,Rimes,80s
1018,Leelee,Sobieski,80s
1019,Amare,Stoudemire,80s
1020,Eva,Marie Saint,20s
1021,Peter,Fonda,40s
1022,Lady,Bird Johnson,10s
1023,Paul,Samuelson,10s
1024,Layne,Staley,60s
1025,Kerry,King,60s
1026,Robert,F. Kennedy,20s
1027,Kate,Hudson,70s
1028,Eugene,Merle Shoemaker,20s
1029,Gus,Van Sant,50s
1030,Haley,Joel Osment,80s
1031,Linda,McCartney,40s
1035,Kevin,Kline,40s
1037,Chris,Cornell,60s
1038,Rob,Lowe,60s
1039,Chris,Evert,50s
1040,Jim,Jones,30s
1041,Rahm,Emanuel,50s
1042,Darren,Aronofsky,60s
1043,David,Baltimore,30s
1044,Louise,Fletcher,30s
1045,Steve,Buscemi,50s
1046,John,Frusciante,70s
1047,Susan,Hayward,10s
1048,Robert,K. Merton,10s
1049,Laurie,Holden,60s
1052,Michael,Stipe,60s
1053,Norah,Jones,70s
1054,Rocky,Marciano,20s
1055,Bridget,Fonda,60s
1056,Michael,Keaton,50s
1057,Judy,Holliday,20s
1058,Jada,Pinkett Smith,70s
1059,Farrah,Fawcett,40s
1060,Roderick,MacKinnon,50s
1061,George,Takei,30s
1064,Joe,Mantegna,40s
1065,Lawrence,Klein,20s
1066,James,Cromwell,40s
1067,Jason,Newsted,60s
1068,Paul,Wolfowitz,40s
1069,LeBron,James,80s
1070,Rosalynn,Carter,20s
1071,50,Cent,70s
1072,Carl,Wieman,50s
1073,Cheech,Marin,40s
1074,Debra,Winger,50s
1077,Lara,Flynn Boyle,70s
1078,Julianne,Moore,60s
1079,Josh,Hartnett,70s
1080,Josh,Groban,80s
1082,Kobe,Bryant,70s
1083,Ryan,Phillippe,70s
1084,Willis,Lamb,10s
1085,Freddie,"Prinze, Jr.",70s
1086,Tommy,Lee Jones,40s
1087,Gerald,Edelman,20s
1088,Matthew,Broderick,60s
1090,Richard,Rorty,30s
1091,Samuel,C. C. Ting,30s
1094,Jim,Belushi,50s
1095,Steven,Weinberg,30s
1098,James,Van Allen,10s
1099,John,Myung,60s
1100,Wilt,Chamberlain,30s
1101,Jim,Varney,40s
1102,Aaron,Sorkin,60s
1103,Christopher,Lloyd,30s
1105,Jennifer,Hudson,80s
1106,Anne,Bancroft,30s
1107,Priscilla,Presley,40s
1108,Kelly,Rowland,80s
1109,Macaulay,Culkin,80s
1110,Mary,J. Blige,70s
1111,Bernie,Mac,50s
1112,Robert,Solow,20s
1114,Marisa,Tomei,60s
1115,Richard,Dean Anderson,50s
1116,Claire,Danes,70s
1117,Kenny,Rogers,30s
1118,Nora,Ephron,40s
1119,Isiah,Thomas,60s
1120,James,Horner,50s
1122,John,Goodman,50s
1123,Juliette,Lewis,70s
1124,Jon,Lovitz,50s
1125,Ray,Romano,50s
1126,Nathan,Lane,50s
1127,Michael,Spence,40s
1128,Jon,Stewart,60s
1129,Ashton,Kutcher,70s
1130,Mark,David Chapman,50s
1131,Joe,Dassin,30s
1132,Ferid,Murad,30s
1133,John,C. Reilly,60s
1134,Norman,Borlaug,10s
1136,Kristin,Davis,60s
1137,Aaron,Spelling,20s
1138,Jake,Gyllenhaal,80s
1139,Utada,Hikaru,80s
1140,Tom,Selleck,40s
1141,Joe,Pesci,40s
