,decades,name,number
373,00s,Ahniah,5
374,00s,Ahniya,11
375,00s,Ahniyah,5
376,00s,Ahren,10
377,00s,Ahriana,5
378,00s,Ahron,171
379,00s,Ahsan,6
380,00s,Ahtziri,383
381,00s,Ahtziry,52
382,00s,Ahuva,289
383,00s,Ai,23
384,00s,Aicha,123
385,00s,Aida,1028
386,00s,Aidaly,5
387,00s,Aidan,76064
388,00s,Aidden,16
389,00s,Aide,237
390,00s,Aidee,80
391,00s,Aidel,57
392,00s,Aideliz,54
393,00s,Aiden,82320
394,00s,Aidin,70
395,00s,Aidon,23
396,00s,Aidsa,9
397,00s,Aidy,6
398,00s,Aidyn,1119
399,00s,Aiesha,5
400,00s,Aijah,6
401,00s,Aika,5
402,00s,Aiko,88
403,00s,Aila,142
404,00s,Ailani,432
405,00s,Ailanie,5
406,00s,Ailany,55
407,00s,Ailea,14
408,00s,Ailed,53
409,00s,Ailee,5
410,00s,Aileen,5353
411,00s,Aileene,5
412,00s,Ailen,5
413,00s,Ailene,150
414,00s,Aileth,8
415,00s,Ailey,43
416,00s,Aili,31
417,00s,Ailin,189
418,00s,Ailish,36
419,00s,Ailton,13
420,00s,Aily,8
421,00s,Ailyn,937
422,00s,Ailynn,5
423,00s,Aiman,10
424,00s,Aimar,26
425,00s,Aime,153
426,00s,Aimee,3622
427,00s,Ainara,5
428,00s,Aine,226
429,00s,Ainslee,78
430,00s,Ainsleigh,5
431,00s,Ainsley,6035
432,00s,Ainslie,20
433,00s,Aira,5
434,00s,Airam,241
435,00s,Aireanna,5
436,00s,Airi,10
437,00s,Airiana,28
438,00s,Airianna,10
439,00s,Airyana,6
440,00s,Aisa,6
441,00s,Aisatou,10
442,00s,Aisha,3441
443,00s,Aishah,52
444,00s,Aishani,16
445,00s,Aishwarya,160
446,00s,Aisley,10
447,00s,Aislin,99
448,00s,Aisling,145
449,00s,Aislinn,699
450,00s,Aislyn,163
451,00s,Aislynn,231
452,00s,Aissa,44
453,00s,Aissata,87
454,00s,Aissatou,137
455,00s,Aitan,5
456,00s,Aitana,20
457,00s,Aiva,11
458,00s,Aixa,188
459,00s,Aiyana,3351
460,00s,Aiyanah,19
