ID,name,birthstate,countryName,countryCode,birthyear,gender,occupation
13793,Harrison Schmitt,NM,UNITED STATES,US,1935,Male,ASTRONAUT
1784460,Lhasa de Sela,NY,United States,US,1972,Female,SINGER
938523,Laura Branigan,NY,UNITED STATES,US,1957,Female,SINGER
14059,Howard Hughes,TX,UNITED STATES,US,1905,Male,BUSINESSPERSON
14205,Herbert Simon,WI,UNITED STATES,US,1916,Male,ECONOMIST
14254,Helen Keller,AL,UNITED STATES,US,1880,Female,SOCIAL ACTIVIST
8629,Donald Rumsfeld,IL,UNITED STATES,US,1932,Male,POLITICIAN
14321,Hank Aaron,AL,UNITED STATES,US,1934,Male,BASEBALL PLAYER
14328,Hunter S. Thompson,KY,UNITED STATES,US,1937,Male,WRITER
14709,Ice T,NJ,UNITED STATES,US,1958,Male,MUSICIAN
8218,Dennis Ritchie,NY,United States,US,1941,Male,COMPUTER SCIENTIST
16115,James Spader,MA,UNITED STATES,US,1960,Male,ACTOR
15737,John Bardeen,WI,UNITED STATES,US,1908,Male,PHYSICIST
15744,Jim Jarmusch,OH,United States,US,1953,Male,FILM DIRECTOR
15766,James Brown,SC,UNITED STATES,US,1933,Male,SINGER
16324,John Hancock,MA,United States,US,1737,Male,POLITICIAN
15824,John Updike,PA,United States,US,1932,Male,WRITER
15830,John Lee Hooker,MS,UNITED STATES,US,1917,Male,SINGER
24033,Percival Lowell,MA,UNITED STATES,US,1855,Male,ASTRONOMER
225255,Frank Abagnale,NY,United States,US,1948,Male,MAFIOSO
15919,John Wilkes Booth,MD,United States,US,1838,Male,EXTREMIST
15923,Dan Quayle,IN,UNITED STATES,US,1947,Male,POLITICIAN
15950,James Madison,VA,UNITED STATES,US,1751,Male,POLITICIAN
15967,Jerry Lewis,NJ,UNITED STATES,US,1926,Male,ACTOR
15978,James Monroe,VA,UNITED STATES,US,1758,Male,POLITICIAN
15980,James K. Polk,NC,United States,US,1795,Male,POLITICIAN
15992,Jimmy Carter,GA,United States,US,1924,Male,POLITICIAN
16021,John Irving,NH,United States,US,1942,Male,WRITER
13969,Herman Hollerith,NY,UNITED STATES,US,1860,Male,INVENTOR
159269,David Boreanaz,NY,UNITED STATES,US,1969,Male,ACTOR
16095,Jimi Hendrix,WA,UNITED STATES,US,1942,Male,MUSICIAN
